,Entity,Code,emission_type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,Afghanistan,AFG,gas,308273.0,296784.0,271136.0,271136.0,307776.0,307776.0,296784.0,271136.0,282128.0,318594.0,300448.0
1,Albania,ALB,gas,32944.0,14656.0,18320.0,25648.0,29312.0,29312.0,32976.0,58586.0,62288.0,161347.0,84272.0
2,Algeria,DZA,gas,51076160.0,51550552.0,54894048.0,53367824.0,56720644.0,64114502.0,65450032.0,73833264.0,78768672.0,78677072.0,82352064.0
3,Angola,AGO,gas,1593840.0,1271408.0,1289728.0,1370336.0,1403312.0,1421632.0,765776.0,578864.0,1439952.0,1494912.0,1571856.0
4,Argentina,ARG,gas,87177552.0,90119744.0,87994624.0,86928400.0,92587402.0,95381248.0,91338094.0,92843900.0,93534592.0,96300912.0,96441923.0
5,Armenia,ARM,gas,3762022.0,4122000.0,3169360.0,2953184.0,3755600.0,4565344.0,4418784.0,4458396.0,4026736.0,4195280.0,4459088.0
6,Australia,AUS,gas,61048701.0,61786863.0,63112722.0,64262465.0,66480102.0,67705396.0,69361359.0,71566593.0,71803759.0,74803626.0,76436251.0
7,Austria,AUT,gas,16485844.0,17426928.0,17027071.0,18770734.0,17722615.0,16937699.0,16324463.0,14888822.0,15878746.0,16446046.0,17966461.0
8,Azerbaijan,AZE,gas,17577750.0,20738240.0,18788992.0,17968256.0,19025594.0,19833232.0,19935824.0,21199904.0,21932704.0,21509780.0,20892128.0
9,Bahrain,BHR,gas,20866480.0,22969616.0,24175072.0,24531054.0,24284992.0,24394912.0,26179280.0,28352032.0,28238448.0,27169056.0,27992420.0
10,Bangladesh,BGD,gas,29579472.0,32224880.0,35441872.0,39396545.0,39626160.0,41714640.0,43331788.0,45934239.0,48742192.0,53549360.0,53666608.0
11,Barbados,BRB,gas,36640.0,32976.0,32900.0,29312.0,32896.0,36547.0,43968.0,25723.0,32976.0,32976.0,32976.0
12,Belarus,BLR,gas,38544764.0,39267888.0,32502107.0,40228491.0,38092839.0,37567765.0,37668849.0,37390092.0,34768881.0,34686475.0,35459604.0
13,Belgium,BEL,gas,35661950.0,35717952.0,36511080.0,40386143.0,34595561.0,34922436.0,35289160.0,31050744.0,33824981.0,34469571.0,35081857.0
14,Belize,BLZ,gas,0.0,0.0,0.0,11067.0,10920.0,7328.0,3664.0,3693.0,3664.0,3664.0,3664.0
15,Benin,BEN,gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58624.0,3664.0,73317.0
16,Bolivia,BOL,gas,4136656.0,4765518.0,5025637.0,5723168.0,6512422.0,6766035.0,7047278.0,7648997.0,7862944.0,8661696.0,8366322.0
17,Bosnia and Herzegovina,BIH,gas,769440.0,762112.0,436016.0,457921.0,520288.0,479905.0,373728.0,348080.0,406704.0,421431.0,458000.0
18,Botswana,BWA,gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,0.0,0.0
19,Brazil,BRA,gas,40545824.0,48530148.0,39124192.0,52659008.0,50482592.0,59825792.0,71077936.0,78031661.0,77179068.0,66061920.0,69447456.0
20,Brunei,BRN,gas,5939344.0,6492608.0,5595976.0,6126208.0,7287696.0,7112781.0,5624240.0,6771072.0,4891440.0,5341011.0,6822368.0
21,Bulgaria,BGR,gas,6889115.0,6718200.0,5052382.0,5371912.0,6148541.0,5759238.0,5608733.0,5589405.0,5931801.0,5938794.0,6038318.0
22,Cameroon,CMR,gas,685168.0,711293.0,589578.0,593568.0,424787.0,509296.0,585819.0,850048.0,942093.0,1019044.0,1132176.0
23,Canada,CAN,gas,181351238.0,179358949.0,172690928.0,175591119.0,193109674.0,196658855.0,205339287.0,214652732.0,212479902.0,209514605.0,213521490.0
24,Chile,CHL,gas,8764288.0,4825488.0,6378671.0,10226747.0,10449728.0,9808976.0,9292317.0,8295685.0,9111963.0,9951424.0,9944096.0
25,China,CHN,gas,129515072.0,149674400.0,164403680.0,199585408.0,245989968.0,277599296.0,320127464.0,353590788.0,366649291.0,402761536.0,464452128.0
26,Colombia,COL,gas,14033120.0,17517584.0,20097040.0,21987664.0,21050702.0,22898934.0,23106131.0,22665504.0,23101520.0,21892400.0,22467648.0
27,Congo,COG,gas,40304.0,47763.0,106256.0,194192.0,282128.0,407210.0,578912.0,523335.0,981952.0,1124848.0,1183472.0
28,Cote d'Ivoire,CIV,gas,2887232.0,3037456.0,2784640.0,3037456.0,2993488.0,3264624.0,3748272.0,3781248.0,3858192.0,4774192.0,4312528.0
29,Croatia,HRV,gas,5870851.0,5693071.0,5256202.0,5712434.0,5564328.0,5194847.0,4908934.0,4305073.0,4460983.0,4729110.0,5432159.0
30,Cuba,CUB,gas,2337632.0,2227712.0,2216720.0,2059391.0,1956822.0,1985888.0,2044512.0,2304656.0,2388627.0,2275642.0,2018569.0
31,Curacao,CUW,gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274800.0,274800.0,230832.0
32,Cyprus,CYP,gas,1113.0,543.0,1146.0,745.0,915.0,556.0,796.0,409.0,403.0,398.0,422.0
33,Czechia,CZE,gas,17384196.0,17218487.0,16252817.0,18348733.0,16728568.0,16553692.0,16753879.0,15039364.0,15828045.0,16929503.0,17612066.0
34,Democratic Republic of Congo,COD,gas,43968.0,43968.0,43968.0,44050.0,43968.0,0.0,0.0,3664.0,3664.0,0.0,0.0
35,Denmark,DNK,gas,9737736.0,9846405.0,9433843.0,10569347.0,8983282.0,8413976.0,7939519.0,6816457.0,6907236.0,7012323.0,6678652.0
36,Dominican Republic,DOM,gas,1003936.0,926992.0,992944.0,1494912.0,1678401.0,1989552.0,2037184.0,2003868.0,2025875.0,1912608.0,2191403.0
37,Ecuador,ECU,gas,1022256.0,930772.0,1099076.0,1157702.0,1047904.0,1399648.0,1590176.0,1630480.0,1535078.0,1656128.0,1538880.0
38,Egypt,EGY,gas,81128288.0,83310483.0,81787808.0,81947530.0,92679288.0,92919040.0,90399788.0,81699872.0,84151088.0,94824320.0,108406768.0
